Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
2327,3656, [COL] title [VAL] Somewhere South of Suva [COL] abstract [VAL] Adam Troy and his pal Oliver Kee are hired to search for an aviatrix who disappeared years ago. The flier was apparently carrying a large uncut diamond and it is now suspected that she crashed on an uncharted island south of Suva. [COL] episodeNumber [VAL] 12.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 1959-12-28," [COL] title [VAL] Castaways [COL] abstract [VAL] Troy is headed to the strife torn island of Mai Sai with a cargo of serum to fight a cholera epidemic. Troy and crew pick up three men stranded on a tiny atoll, who claim to be survivors of a shipwreck, but they're really gunrunners from a ship called the Punjab Trader, whose captain was murdered. The trio, led by the second mate, take over the Tiki, threatening to kill the nun who is transporting the serum, and go after the Punjab Trader. [COL] episodeNumber [VAL] 13.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 1960-01-04 [COL] release_year [VAL] 1960-01-01",0,D7
1771,6542," [COL] title [VAL] Tree Pattern Aggregation for Scalable XML Data Dissemination [COL] authors [VAL] Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Wenfei Fan, Minos N. Garofalakis [COL] venue [VAL] VLDB [COL] year [VAL] 2002"," [COL] title [VAL] Tree Pattern Aggregation for Scalable XML Data Dissemination [COL] authors [VAL] CY Chan, W Fan, P Felber, MN Garofalakis, R [COL] venue [VAL] VLDB, [COL] year [VAL] 2002.0",1,D9
4117,1737, [COL] title [VAL] Christmas Stopover [COL] episodeNumber [VAL] 17.0 [COL] seasonNumber [VAL] 3.0 [COL] startYear [VAL] 1955-01-01 [COL] genre_list [VAL] Drama [COL] runtimeMinutes [VAL] 30.0, [COL] title [VAL] Christmas miracles & meltdowns [COL] episodeNumber [VAL] 2.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2019-06-04 [COL] release_year [VAL] 2019-01-01,0,D5
576,18443, [COL] title [VAL] Da-Lite Da-Glas Deluxe Rear Projection Screen - 50 x 50 AV Format [COL] modelno [VAL] 27647 [COL] price [VAL] 1919.99 [COL] shipweight [VAL] 237.0 [COL] brand [VAL] Da-Lite, [COL] title [VAL] Da-Lite 27639 Da-Glas Standard Rear Projection Screen 72 x 96 Video Format [COL] shipweight [VAL] 796 [COL] brand [VAL] Da-Lite,0,D8
3304,5571, [COL] title [VAL] Buoy Cleaner [COL] abstract [VAL] Mike Rowe gets dirty in Oregon making shingles and then jumps on a Coast Guard ship to clean dirty buoys. [COL] episodeNumber [VAL] 4.0 [COL] seasonNumber [VAL] 4.0 [COL] releaseDate [VAL] 2008-01-29, [COL] title [VAL] Sludge Cleaner [COL] abstract [VAL] Mike Rowe gets dirty as he works with surfboard shaper Matt Barker. Mike masters the art of shaping a surfboard from Styrofoam. And Mike goes underground into a greasy pit of sludge as he joins an environmental company that recycles the gunky grime. [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2005-08-30 [COL] release_year [VAL] 2005-01-01,0,D7
6740,3379," [COL] title [VAL] Oscar Buzz Edition Part 1 [COL] abstract [VAL] Zach Galifianakis sits down with Jennifer Lawrence, Anne Hathaway, Christoph Waltz, Naomi Watts & Amy Adams who are getting all the buzz during this Oscar season.  [COL] episodeNumber [VAL] 16.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2013-02-11"," [COL] title [VAL] Charlize Theron [COL] abstract [VAL] Zach has a chat with Charlize Theron, Academy Award winner and star of The Road. [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-09-08 [COL] release_year [VAL] 2009-01-01",0,D7
1552,3888, [COL] name [VAL] Lee Hae-Young [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Yui Horie [COL] job [VAL] actor,0,D6
1153,950," [COL] title [VAL] Episode 3 [COL] abstract [VAL] After came back from the school trip, Junpyo’s curious feeling for Jandi grows even bigger. Jandi meets Jihu, who is having a hard time because of Seohyeon, and Junpyo hears about this. Jandi worries about Jihu and goes to see him, but encounters Junpyo who is waiting for her with jealous eyes. At Seohyeon’s birthday party, Seohyeon announces that she’s going to France, leaving everything behind. When Jandi goes to say goodbye to her, she sees the scene of Jihu declaring his love for Seohyeon. [COL] episodeNumber [VAL] 3.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-01-12"," [COL] title [VAL] Episode 22 [COL] abstract [VAL] The wedding ceremony finally starts and Junpyo enters in. However, Jaekyung maps out a plan and ruins the wedding. Junpyo and Jandi sneak off to the resort and spend time together. Jaekyung returns the necklace to Jihoo and leaves to New York on the next day. Jandi and Junpyo’s happy moment is about to fall apart, since the break off brings a crisis to Shinhwa group. Now Junpyo’s mother anger is towards Jandi. [COL] episodeNumber [VAL] 22.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-03-23 [COL] release_year [VAL] 2009-01-01",0,D7
1548,444," [COL] name [VAL] Kari Skogland [COL] primaryProfessions [VAL] director,miscellaneous,producer", [COL] name [VAL] Kari Skogland [COL] job [VAL] directors,1,D6
1003,2283, [COL] title [VAL] reel deal slots 2.0 for pc [COL] description [VAL] phantom's ultra realistic slots experience continues with reel deal slots 2nd vol. all new machines prize vaults prizes enhanced bonus games statistic tracking and vip points make slots 2nd vol. a cutting edge success. also featured are 50 unique units that make over 300 slot and video poker variations. [COL] manufacturer [VAL] phantom efx [COL] price [VAL] 9.99, [COL] title [VAL] masque 10194 slots from bally gaming pc [COL] description [VAL] slots iii from masque publishing will feature 50 all new slot machines from bally gaming. slots iii from masque publishing will feature 50 all new slot machines from bally gaming. the games will showcase the world's favorite sailor man popeye and ... [COL] manufacturer [VAL] masque [COL] price [VAL] 18.99,0,D3
